TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
UTA,UTA vs. PHX,12/31/2020,L,240,95,35,84,41.7,12,34,35.3,13,19,68.4,10,36,46,16,8,3,14,15,-11
UTA,UTA @ OKC,12/28/2020,W,240,110,43,86,50.0,13,36,36.1,11,14,78.6,8,35,43,24,9,6,17,19,1
UTA,UTA vs. MIN,12/26/2020,L,240,111,36,94,38.3,10,34,29.4,29,37,78.4,19,38,57,15,5,4,19,20,-5
UTA,UTA @ POR,12/23/2020,W,240,120,43,94,45.7,19,50,38.0,15,19,78.9,12,47,59,24,3,3,11,16,20
UTA,UTA @ DEN,09/01/2020,L,240,78,30,79,38.0,8,34,23.5,10,15,66.7,10,38,48,16,6,3,14,14,-2
UTA,UTA vs. DEN,08/30/2020,L,240,107,34,75,45.3,18,36,50.0,21,30,70.0,5,25,30,20,8,3,10,20,-12
UTA,UTA @ DEN,08/25/2020,L,240,107,39,78,50.0,16,34,47.1,13,16,81.3,4,31,35,23,7,3,15,20,-10
UTA,UTA vs. DEN,08/23/2020,W,240,129,42,73,57.5,14,29,48.3,31,36,86.1,6,31,37,14,2,0,10,19,2
UTA,UTA vs. DEN,08/21/2020,W,240,124,43,84,51.2,18,37,48.6,20,26,76.9,13,37,50,27,9,2,11,20,37
UTA,UTA @ DEN,08/19/2020,W,240,124,45,87,51.7,20,44,45.5,14,17,82.4,11,25,36,32,5,7,8,18,19
UTA,UTA @ DEN,08/17/2020,L,265,125,46,97,47.4,16,47,34.0,17,23,73.9,16,36,52,18,6,4,16,22,-10
UTA,UTA vs. SAS,08/13/2020,W,240,118,47,101,46.5,15,46,32.6,9,10,90.0,12,31,43,25,7,5,9,23,6
UTA,UTA vs. DAL,08/10/2020,L,240,114,39,82,47.6,21,46,45.7,15,20,75.0,11,27,38,28,5,6,12,19,-8
UTA,UTA @ DEN,08/08/2020,L,290,132,47,105,44.8,22,55,40.0,16,22,72.7,15,36,51,34,6,4,23,30,-2
UTA,UTA @ SAS,08/07/2020,L,240,111,38,91,41.8,16,37,43.2,19,24,79.2,10,39,49,25,8,4,16,19,-8
UTA,UTA vs. MEM,08/05/2020,W,240,124,38,84,45.2,18,45,40.0,30,33,90.9,11,35,46,25,5,4,18,23,9
UTA,UTA vs. LAL,08/03/2020,L,240,108,37,83,44.6,12,43,27.9,22,25,88.0,7,35,42,25,8,3,21,29,-8
UTA,UTA @ OKC,08/01/2020,L,240,94,34,87,39.1,8,31,25.8,18,22,81.8,12,23,35,17,11,4,16,21,-16
UTA,UTA @ NOP,07/30/2020,W,240,106,37,84,44.0,8,34,23.5,24,28,85.7,12,31,43,17,11,6,20,23,2
UTA,UTA vs. TOR,03/09/2020,L,240,92,33,83,39.8,16,43,37.2,10,14,71.4,6,28,34,24,12,4,11,20,-9
UTA,UTA @ DET,03/07/2020,W,240,111,40,77,51.9,10,33,30.3,21,28,75.0,9,31,40,17,10,4,10,19,6
UTA,UTA @ BOS,03/06/2020,W,240,99,36,80,45.0,17,45,37.8,10,12,83.3,8,32,40,23,8,7,18,19,5
UTA,UTA @ NYK,03/04/2020,W,240,112,41,81,50.6,10,36,27.8,20,25,80.0,6,31,37,26,5,5,14,20,8
UTA,UTA @ CLE,03/02/2020,W,240,126,47,83,56.6,20,41,48.8,12,14,85.7,8,39,47,30,3,7,15,17,13
UTA,UTA vs. WAS,02/28/2020,W,240,129,44,89,49.4,19,37,51.4,22,30,73.3,15,39,54,23,7,5,15,22,10
UTA,UTA vs. BOS,02/26/2020,L,240,103,40,89,44.9,12,40,30.0,11,15,73.3,13,28,41,16,5,3,10,16,-11
UTA,UTA vs. PHX,02/24/2020,L,240,111,32,68,47.1,10,26,38.5,37,43,86.0,5,25,30,16,8,2,20,23,-20
UTA,UTA vs. HOU,02/22/2020,L,240,110,42,90,46.7,7,31,22.6,19,24,79.2,6,40,46,18,1,2,13,14,-10
UTA,UTA vs. SAS,02/21/2020,L,240,104,35,82,42.7,12,33,36.4,22,26,84.6,6,41,47,25,4,6,17,18,-9
UTA,UTA vs. MIA,02/12/2020,W,240,116,41,85,48.2,14,36,38.9,20,23,87.0,10,43,53,23,6,3,15,16,15
UTA,UTA @ DAL,02/10/2020,W,240,123,46,78,59.0,15,35,42.9,16,21,76.2,10,35,45,27,5,2,21,29,4
UTA,UTA @ HOU,02/09/2020,W,240,114,42,86,48.8,15,38,39.5,15,18,83.3,10,38,48,25,2,4,16,14,1
UTA,UTA vs. POR,02/07/2020,W,240,117,45,91,49.5,10,30,33.3,17,24,70.8,13,43,56,21,6,2,15,19,3
UTA,UTA vs. DEN,02/05/2020,L,240,95,36,86,41.9,14,39,35.9,9,14,64.3,7,39,46,20,5,1,14,16,-3
UTA,UTA @ POR,02/01/2020,L,240,107,40,94,42.6,18,41,43.9,9,9,100,11,26,37,19,6,4,10,17,-17
UTA,UTA @ DEN,01/30/2020,L,240,100,36,78,46.2,17,37,45.9,11,17,64.7,5,30,35,24,4,6,16,17,-6
UTA,UTA @ SAS,01/29/2020,L,240,120,37,84,44.0,14,38,36.8,32,46,69.6,12,31,43,18,4,0,13,22,-7
UTA,UTA vs. HOU,01/27/2020,L,240,117,43,85,50.6,12,42,28.6,19,26,73.1,2,36,38,24,7,3,18,33,-9
UTA,UTA vs. DAL,01/25/2020,W,240,112,40,91,44.0,15,43,34.9,17,22,77.3,12,42,54,22,5,6,13,21,5
UTA,UTA @ GSW,01/22/2020,W,240,129,50,93,53.8,17,40,42.5,12,23,52.2,15,41,56,31,5,3,11,19,33
UTA,UTA vs. IND,01/20/2020,W,240,118,47,87,54.0,12,31,38.7,12,12,100,11,42,53,22,5,4,21,11,30
UTA,UTA vs. SAC,01/18/2020,W,240,123,43,85,50.6,14,42,33.3,23,24,95.8,10,37,47,24,7,4,10,14,22
UTA,UTA @ NOP,01/16/2020,L,265,132,46,100,46.0,15,39,38.5,25,32,78.1,11,32,43,23,9,6,13,29,-6
UTA,UTA @ BKN,01/14/2020,W,240,118,46,92,50.0,13,36,36.1,13,15,86.7,7,34,41,19,8,3,9,15,11
UTA,UTA @ WAS,01/12/2020,W,240,127,48,90,53.3,10,30,33.3,21,25,84.0,12,32,44,24,6,2,11,18,11
UTA,UTA vs. CHA,01/10/2020,W,240,109,40,79,50.6,18,42,42.9,11,14,78.6,9,31,40,28,9,6,16,20,17
UTA,UTA vs. NYK,01/08/2020,W,240,128,49,90,54.4,16,43,37.2,14,23,60.9,12,38,50,29,6,6,7,15,24
UTA,UTA @ NOP,01/06/2020,W,240,128,46,90,51.1,16,33,48.5,20,24,83.3,7,36,43,19,3,3,8,25,2
UTA,UTA @ ORL,01/04/2020,W,240,109,42,93,45.2,16,40,40.0,9,14,64.3,14,37,51,22,3,3,8,10,13
UTA,UTA @ CHI,01/02/2020,W,240,102,37,76,48.7,11,30,36.7,17,22,77.3,7,35,42,24,5,6,17,17,4
UTA,UTA vs. DET,12/30/2019,W,240,104,39,83,47.0,10,26,38.5,16,20,80.0,9,37,46,20,7,6,15,21,23
UTA,UTA @ LAC,12/28/2019,W,240,120,45,86,52.3,17,35,48.6,13,17,76.5,6,41,47,25,4,2,13,20,13
UTA,UTA vs. POR,12/26/2019,W,240,121,46,81,56.8,14,36,38.9,15,22,68.2,7,34,41,22,3,1,11,18,6
UTA,UTA @ MIA,12/23/2019,L,240,104,39,90,43.3,12,36,33.3,14,18,77.8,10,35,45,17,10,6,12,21,-3
UTA,UTA @ CHA,12/21/2019,W,240,114,39,75,52.0,17,34,50.0,19,20,95.0,8,34,42,27,7,4,21,27,7
UTA,UTA @ ATL,12/19/2019,W,240,111,39,83,47.0,6,24,25.0,27,38,71.1,13,40,53,18,8,6,19,17,5
UTA,UTA vs. ORL,12/17/2019,W,240,109,42,90,46.7,15,36,41.7,10,16,62.5,10,48,58,27,3,3,14,16,7
UTA,UTA vs. GSW,12/13/2019,W,240,114,37,79,46.8,16,38,42.1,24,31,77.4,7,36,43,22,5,3,13,20,8
